══════════════════════
npx cdk destroy --all --force --context config-path=/Users/alessandrovolpicella/repo/cloudfront-toolkit-vite/cloudfront-hosting-toolkit 


══════════════════════

hosting-main-cloudfront-toolkit-vite-main: destroying... [1/2]
hosting-main-cloudfront-toolkit-vite-main |  13 | 10:05:50 | DELETE_COMPLETE      | Custom::LogRetention                   | Hosting/PipelineInfrastructure/UpdateCFF/UpdateKvsFunction/LogRetention (HostingPipelineInfrastructureUpdateCFFUpdateKvsFunctionLogRetentionCCFB0174) 
hosting-main-cloudfront-toolkit-vite-main |  14 | 10:05:50 | DELETE_COMPLETE      | AWS::CodePipeline::Pipeline            | Hosting/PipelineInfrastructure/MyPipeline (HostingPipelineInfrastructureMyPipelineFC5FDDD0) 
hosting-main-cloudfront-toolkit-vite-main |  15 | 10:05:50 | DELETE_COMPLETE      | Custom::LogRetention                   | Hosting/PipelineInfrastructure/UpdateCFF/DeleteOldDeployments/LogRetention (HostingPipelineInfrastructureUpdateCFFDeleteOldDeploymentsLogRetentionA1B2D84E) 
hosting-main-cloudfront-toolkit-vite-main |  15 | 10:05:53 | DELETE_SKIPPED       | AWS::Logs::LogGroup                    | Hosting/PipelineInfrastructure/MyLogGroup (HostingPipelineInfrastructureMyLogGroupF5049128) 
hosting-main-cloudfront-toolkit-vite-main |  15 | 10:05:53 | DELETE_IN_PROGRESS   | AWS::IAM::Role                         | Hosting/PipelineInfrastructure/MyPipeline/Role (HostingPipelineInfrastructureMyPipelineRoleB18081B5) 
hosting-main-cloudfront-toolkit-vite-main |  16 | 10:05:54 | DELETE_COMPLETE      | AWS::Lambda::Function                  | LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8a (LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8aFD4BFC8A) 
hosting-main-cloudfront-toolkit-vite-main |  16 | 10:05:55 | DELETE_IN_PROGRESS   | AWS::IAM::Policy                       | LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8a/ServiceRole/DefaultPolicy (LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8aServiceRoleDefaultPolicyADDA7DEB) 
hosting-main-cloudfront-toolkit-vite-main |  17 | 10:05:55 | DELETE_COMPLETE      | AWS::Lambda::Function                  | Custom::S3AutoDeleteObjectsCustomResourceProvider/Handler (CustomS3AutoDeleteObjectsCustomResourceProviderHandler9D90184F) 
hosting-main-cloudfront-toolkit-vite-main |  17 | 10:05:55 | DELETE_IN_PROGRESS   | AWS::IAM::Role                         | Custom::S3AutoDeleteObjectsCustomResourceProvider/Role (CustomS3AutoDeleteObjectsCustomResourceProviderRole3B1BD092) 
hosting-main-cloudfront-toolkit-vite-main |  17 | 10:05:55 | DELETE_IN_PROGRESS   | AWS::S3::Bucket                        | Hosting/PipelineInfrastructure/ArtifactBucket (HostingPipelineInfrastructureArtifactBucket000BDB60) 
